id,Area,X,Y,20200206,20200327,20200605,20200710,20200819,20200928,B02,B03,B04,B05,B06,B07,B08,B08A,B11,B12
704,46.73,358105.577,4611008.774,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1510,1479,1323,1295,1988,2347,2133,2482,1834,1208
705,14.13,358031.159,4611153.871,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1215,1186,1210,1351,2275,2690,2726,3074,2513,1729
706,47.11,358647.124,4609485.496,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1243,1281,1307,1622,2167,2484,2336,2770,2876,2005
707,28.39,358592.383,4609817.586,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1273,1335,1207,1590,2645,3214,3242,3350,2874,2059
708,16.68,358797.061,4609698.954,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1154,1204,1101,1266,2179,2694,2576,2950,2092,1271
709,19.23,358762.535,4609710.127,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1059,1047,1068,1208,2193,2589,2352,2944,1996,1203
710,69.57,358385.43,4610855.128,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1703,1529,1251,1460,2671,3272,3019,3499,2310,1387
711,20.83,358351.566,4611049.322,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1682,1779,1994,2075,2607,2865,2800,3113,2818,2051
712,14.66,358334.497,4611019.97,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1496,1384,1367,1713,2477,2918,2913,3003,2530,1897
713,6.4,358281.412,4610984.142,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1288,1331,1364,1473,2072,2378,2268,2546,2509,1878
714,107.54,356262.06,4611677.364,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,2323,2258,2600,2070,2293,2405,2564,2308,2109,1830
715,83.25,356275.075,4611668.788,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,2021,1985,2037,2291,2675,2984,2570,3067,2417,1861
716,14.23,356285.882,4611673.582,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2090,2162,2215,2082,2041,2198,2837,2424,2036,1610
717,5.13,356284.867,4611775.919,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,1333,1278,1511,1819,2054,2265,1972,2238,2529,2152
718,18.76,356132.861,4612213.519,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1132,1168,1743,1859,2052,2235,2018,2273,3065,2758
719,16.5,356008.501,4612354.491,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1526,1522,1547,1599,1988,2015,1661,1766,1918,1457
720,15.34,356672.693,4612378.192,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1352,1376,2057,1886,2191,2343,2361,2231,3336,3224
721,83.07,357011.353,4612648.51,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,2043,2145,2396,2027,2188,2514,2715,2741,3056,2330
722,15.46,356140.694,4612872.751,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1839,1780,1876,2037,2429,2757,2628,3034,2721,2175
723,97.35,355873.549,4613183.886,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,2666,2547,2958,2448,2790,3050,2951,3088,3182,2429
724,34.92,356237.96,4613115.851,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1366,1303,1701,1779,1963,2073,1958,2520,3133,2693
725,40.94,357231.704,4612840.528,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1188,1042,992,1563,2442,2778,3150,3084,2428,1826
726,299.54,356977.834,4614173.538,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2557,2024,1493,1827,2817,3038,2219,3402,2329,1412
727,57.18,356992.501,4614224.367,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,2077,2046,1534,1597,3059,3775,3223,4139,2242,1157
728,26.94,357003.95,4614190.872,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1528,1653,1403,1720,3302,4027,3900,4389,2300,1217
729,16.97,358680.934,4611260.909,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1241,1354,1387,1452,2363,2758,2509,2903,2437,1703
730,12.33,358876.467,4611258.246,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1315,1283,1372,1498,2214,2596,2566,2908,2686,1879
731,21.22,358885.484,4611236.361,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1575,1425,1476,1844,2665,3040,3222,3118,2746,2106
732,5.4,358855.459,4611243.549,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1233,1254,1399,1881,2306,2658,2566,2918,3019,2332
733,10.35,358899.277,4611242.671,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,1527,1547,1720,2053,2605,2843,2611,3070,3027,2340
734,163.38,359104.921,4611262.836,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1481,1239,1117,1489,2853,3584,3503,4113,2326,1343
735,49.83,359199.936,4611531.967,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,1788,1565,1624,1714,2329,2645,2652,2855,3102,2288
736,15.05,359105.7,4611508.922,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1482,1446,1655,1734,2224,2527,2317,2706,2840,2332
737,7.79,359064.094,4611529.875,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1516,1464,1781,1879,2138,2326,2287,2469,2665,2175
738,6.16,359060.052,4611519.205,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1622,1639,1906,1879,2138,2326,2200,2469,2665,2175
739,20.3,359014.594,4611548.337,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1472,1474,1775,1922,2266,2493,2580,2722,2607,2126
740,8.44,358847.346,4611419.695,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1576,1652,2189,2155,2442,2655,2626,2779,3234,2639
741,33.69,358844.655,4611412.346,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1690,1790,2347,2063,2384,2535,2827,2771,3123,2622
742,5.87,358658.324,4611399.712,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1696,1614,2051,2024,2369,2492,2448,2748,2907,2324
743,14.97,359161.26,4611570.669,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,ABANDONADA,1655,1847,2288,1979,2198,2369,2472,2338,2710,2217
744,12.75,359147.254,4611564.715,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1501,1530,1818,2097,2245,2466,2218,2634,2925,2484
745,46.93,359233.712,4611805.004,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1918,1416,1397,1737,2256,2653,2137,2703,2825,2139
746,16.96,359252.151,4611798.942,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1562,1542,2077,1802,2583,2874,2648,3191,2840,1922
747,6.45,359306.657,4611789.898,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2253,2087,2718,2294,2769,3147,3057,3280,2924,2231
748,9.56,359303.622,4611807.068,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1263,1299,1324,1772,2334,2537,2296,2664,2420,1888
749,16.99,359385.567,4611796.319,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1358,1393,1482,1601,2230,2542,2748,2880,2759,1959
750,6.17,359358.791,4611795.035,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1253,1253,1243,1536,2328,2783,2864,3167,2480,1708
751,48.63,359560.9,4611739.275,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,1202,1219,1151,1294,1781,2119,2045,2380,2136,1390
752,31.26,359809.997,4612063.921,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1440,1461,1475,1532,2073,2420,2395,2781,2693,1668
753,8.93,359776.013,4612059.027,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1153,1185,1277,1428,1914,2237,2459,2527,2654,1667
754,56.36,359639.557,4612021.321,CUBIERTA,CUBIERTA,CUBIERTA,CUBIERTA,CUBIERTA,CUBIERTA,1322,1345,1142,1494,2338,2746,2720,3013,2560,1770
755,20.67,359095.767,4611759.432,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1439,1449,1556,1560,2007,2248,2047,2326,2654,1967
756,31.87,358914.138,4611798.773,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1521,1705,1708,1824,2507,2817,3136,2960,2902,2102
757,56.47,358989.002,4611817.138,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,2447,2438,2600,3133,3446,3602,3098,3641,3566,3367
758,2.74,358956.099,4611625.985,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1489,1484,1683,1855,2102,2230,1853,2337,2852,2364
759,7.92,358824.283,4611633.398,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1478,1612,2183,2070,2333,2557,2519,2655,2807,2301
760,13.04,358710.623,4611607.497,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1589,1670,1668,1745,2503,2927,2959,3132,2786,2078
761,21.08,358571.919,4611722.697,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1858,1861,1965,2170,2326,2475,2556,2675,2573,2083
762,9.13,358460.871,4612285.371,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1688,1680,2064,1942,2330,2644,2653,2718,2525,1901
763,18.4,357899.811,4612582.552,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1483,1494,1900,1960,2497,2687,2940,2750,2721,2210
764,16.23,357817.101,4612590.155,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1426,1310,1872,1845,2187,2449,1984,2547,2712,2460
765,30.57,357777.752,4612636.764,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1536,1499,1680,1861,2141,2336,2242,2413,2608,2106
766,7.64,357871.227,4612675.499,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1965,2008,2347,1778,2261,2510,2609,2579,2677,2082
767,123.21,357859.286,4612839.593,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,2292,2236,2516,2369,2865,3311,3427,3519,3557,2829
768,4.15,357871.171,4612833.595,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1886,2269,2092,2593,3375,3843,3708,4099,3563,2666
769,186.94,358194.815,4612779.889,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1446,1481,1447,1927,2749,3151,2577,3363,2738,1804
770,79.46,358309.393,4612704.633,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1755,1628,1645,1877,2187,2418,2150,2807,2761,1889
771,113.19,358407.491,4612967.867,VACIA,VACIA,VACIA,VACIA,VACIA,VACIA,3771,4297,4681,3205,3368,3631,4908,4187,5278,4574
772,186.1,357589.512,4612906.956,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,2089,1880,1907,1974,2139,2174,1756,2266,2233,1758
773,54.02,357820.552,4613501.914,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1695,1705,1313,1311,2129,2620,2185,2962,2069,1309
774,54.66,357798.652,4613503.844,VACIA,VACIA,LLENA,LLENA,LLENA,VACIA,2000,1574,1786,2064,2535,2751,2671,2984,2470,1842
775,43.62,357674.452,4613576.23,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,1270,1245,1213,1411,2674,3153,3220,3277,2004,1280
776,155.0,357686.722,4613561.243,VACIA,VACIA,LLENA,LLENA,LLENA,LLENA,2654,2476,1985,1884,2298,2600,1952,2751,2416,1975
777,1052.97,357630.547,4613481.705,LLENA,LLENA,VACIA,LLENA,LLENA,LLENA,2764,2291,1378,1723,1780,1657,934,1903,2252,1838
778,6.59,357182.448,4614021.035,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1549,1536,2057,1917,2245,2494,2317,2545,3006,2510
779,7.62,357158.925,4614142.605,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1405,1502,1849,1936,2283,2457,2485,2521,2951,2439
780,13.24,357255.572,4614143.642,VACIA,VACIA,VACIA,LLENA,LLENA,VACIA,1465,1364,1624,1889,2119,2262,2139,2204,2718,2246
