,id,Area,X,Y,Estado,B02,B03,B04,B05,B06,B07,B08,B08A,B11,B12,id_img
1766,703,62.51,358105.79299999995,4610893.283,VACIA,1993,2170,2727,2881,2983,3047,2901,3133,3221,2628,703_20200928
1767,710,69.57,358385.43,4610855.1280000005,LLENA,1443,1259,1153,1295,2309,2799,3169,3033,2175,1403,710_20200928
1768,714,107.54,356262.06,4611677.364,VACIA,2287,2298,2481,1782,1951,1893,2367,1776,1516,1493,714_20200928
1769,715,83.25,356275.075,4611668.788,VACIA,1777,1693,1713,1864,2077,2183,2090,2240,1748,1410,715_20200928
1770,721,83.07,357011.35299999994,4612648.51,VACIA,1551,1516,1777,1417,1707,2013,2345,1981,2507,2054,721_20200928
1771,723,97.35,355873.549,4613183.886,VACIA,2409,2420,2899,2376,2716,2839,3279,2857,2676,2085,723_20200928
1772,726,299.54,356977.834,4614173.538,VACIA,1341,1526,1189,1602,2457,2713,3092,3053,2057,1290,726_20200928
1773,727,57.18,356992.501,4614224.367,LLENA,1807,1569,1211,1332,3271,4226,4528,4770,2052,1006,727_20200928
1774,734,163.38,359104.92100000003,4611262.836,LLENA,1311,1210,964,1478,3105,3878,3915,4351,2308,1314,734_20200928
1775,757,56.47,358989.00200000004,4611817.138,VACIA,2483,2596,2963,3305,3536,3498,3114,3623,3626,3455,757_20200928
1776,767,123.21,357859.286,4612839.593,LLENA,1793,1989,2690,2089,2501,2920,3635,3025,3100,2565,767_20200928
1777,769,186.94,358194.815,4612779.8889999995,VACIA,1244,1289,1145,1671,2708,2963,3158,3234,2331,1606,769_20200928
